"0@ID_REP";"1@REGION";"2@DEPARTEMENT";"3@COMMUNE";"4@CAV";"5@CONCESSIONS";"6@MENAGES";"7@QUARTIERS-VILLAGES";"8@HOMMES";"9@FEMMES";"10@POPULATION";"11@OBSERVATIONS"
15187;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";54;70;"DOLY CENTRE";256;277;534;"-"
15188;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";25;31;"DOLY II";124;108;232;"-"
15189;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";5;7;"DOMOKE THIEL";35;28;64;"-"
14761;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";21;22;"FETO PATOUDE";76;97;174;"-"
14762;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";17;21;"GANAREL";68;82;150;"-"
14763;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";10;10;"GANINA SAMBOUROU";37;35;73;"-"
14764;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";11;13;"GANINAYEL BISSINABE";46;33;79;"-"
14765;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";2;10;"GANINAYEL I (GANINAYEL BAKARNABE)";45;50;95;"-"
14766;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";1;1;"GANINAYEL WODABE";0;5;5;"-"
15190;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";2;3;"GASSEL ODIOUDE";14;15;30;"-"
15191;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";14;15;"GOUMEL NAMASS";75;68;144;"-"
14767;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";9;17;"GUENT BOUBOU";33;57;91;"-"
15192;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";8;8;"GUET ARDO THIEL";31;44;75;"-"
14768;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";0;0;"KAD PEULH";0;0;0;"Non habit<e9>"
15193;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";27;32;"KOUMOUCK";183;179;363;"-"
15194;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";6;9;"KOUMOUCK KANGAL";39;63;103;"-"
14769;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";3;5;"LABARDY";27;33;61;"-"
14770;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";7;10;"LABARDY PAMPINABE";37;38;76;"-"
15195;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";20;25;"LOUMBOL ARDO";127;130;257;"-"
14771;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";4;9;"LOUMBOL GALELE";55;43;98;"-"
14772;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";5;5;"LOUMBOL GAWDY BALDIOLI";27;23;50;"-"
14773;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";10;23;"LOUMBOL GAWDY SENO";63;94;157;"-"
14774;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";8;8;"LOUMBOL GAWDY SENO II";51;48;99;"-"
15196;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";14;21;"LOUMBOL KOYLI";78;68;147;"-"
14775;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";17;40;"LOUMBY WORE";132;137;270;"-"
15197;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";7;10;"MBAPEDJI";39;39;79;"-"
15198;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";41;74;"MBATHIOR (DOLY)";293;276;570;"-"
14776;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";12;17;"MBELOGNE NIKINE (BELEL NIKEL)";67;51;118;"-"
14777;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";9;14;"MEDINA RANDE";39;50;90;"-"
15199;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";18;26;"MOLA I";142;137;279;"-"
15200;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";2;4;"MOLA II";18;25;44;"-"
15201;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";5;5;"NDIAME NDIENGAL";14;23;37;"-"
15202;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";6;6;"NDIARY DIOFFA";58;59;118;"-"
14778;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";31;33;"NGOLKA DIABY I";102;118;221;"-"
14779;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";3;11;"NGOLKA DIABY II";52;42;94;"-"
14780;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";3;6;"NGOLKA PAMPINABE";16;16;33;"-"
15203;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";4;4;"NGUER";27;31;58;"-"
14781;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";0;0;"NOUWEDOU";0;0;0;"Non habit<e9>"
15204;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";27;41;"ODIOLDE THIEL";178;165;344;"-"
15205;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";13;14;"OGO DOLY";65;52;117;"-"
15206;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";16;18;"OGO LAITIK";79;94;174;"-"
15207;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";0;0;"OWANDOU THIEL";0;0;0;"Non habit<e9>"
15208;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";37;60;"PATACOUR";201;179;381;"-"
14782;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";11;25;"RANDE";61;57;118;"-"
15209;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";8;8;"SIBOL THIEL";49;37;87;"-"
15210;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";12;17;"SILAT OUOLOF";79;59;139;"-"
15211;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";4;4;"SILAT PEULH";14;12;27;"-"
14783;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";3;5;"SOUMP I";9;9;18;"-"
14784;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";18;26;"SOUMP II";92;102;194;"-"
14785;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";21;25;"TESSEKRE BISSINABE";73;74;148;"-"
14786;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";6;6;"TESSEKRE FORAGE I";43;24;67;"-"
14787;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";6;7;"TESSEKRE FORAGE II";24;28;52;"-"
14788;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";3;5;"TESSEKRE FORAGE III";27;31;58;"-"
14789;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";30;32;"TESSEKRE OUOLOF";107;115;223;"-"
14790;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";1;1;"TESSEKRE WENDOU DIABY";5;8;13;"-"
15212;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";1;1;"THIABOULY I";8;7;15;"-"
15213;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";8;9;"THIABOULY II";44;41;85;"-"
14791;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";8;8;"THIAMBALEDIA";36;38;75;"-"
14792;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";11;14;"THIAMBALEDIA BAKARNABE";58;48;107;"-"
15214;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";18;21;"THIARABITHIE";107;96;204;"-"
15215;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";11;11;"THIEL MAURE";35;36;72;"-"
15216;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";61;69;"THIEL OUOLOF I";286;262;548;"-"
15217;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";63;69;"THIEL OUOLOF II";382;371;753;"-"
15218;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";23;28;"THIEL PEULH";107;124;231;"-"
15219;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";4;6;"THIEL SERERE";33;38;72;"-"
15220;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";30;30;"THIEL TOUCOULEUR";135;149;285;"-"
14793;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";4;12;"THILELE BAKARNABE";35;39;75;"-"
15221;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";8;11;"THILLA (TOUBA THILLA)";52;43;95;"-"
15222;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";4;7;"THIOBE";36;23;59;"-"
14794;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";2;4;"THIOVE PAMPINABE";10;11;22;"-"
14795;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";7;17;"THIOVE THIDAR I";47;52;99;"-"
14796;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";12;33;"THIOVE THIDAR II";95;87;183;"-"
14797;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";1;4;"THIOVE THIDAR III";32;22;54;"-"
15223;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";10;12;"TOUBA DAROU MINAME (THILLA SERIGNE FALLOU)";51;37;89;"-"
15224;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";21;25;"TOUBA ODIOLDE";132;125;257;"-"
15225;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";9;12;"TOUBA PATACOUR";77;88;166;"-"
15226;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";7;14;"TOUBA THIEL II";76;66;143;"-"
15227;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";18;18;"WADANE DJOLOF";145;105;250;"-"
14798;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";1;2;"WALAKOSS FORAGE";10;8;18;"-"
14799;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";4;13;"WALANDE";38;32;71;"-"
14800;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";10;13;"WEDOU THINGOLY BISNABE";55;68;124;"-"
14801;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";57;61;"WEDOU THINGOLY FORAGE";146;121;267;"-"
14802;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";4;4;"WEDOU THINGOLY I";10;13;24;"-"
14803;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";26;26;"WEDOU THINGOLY II";93;89;183;"-"
14804;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";10;13;"WEDOU THINGOLY III";32;29;62;"-"
14805;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";11;11;"WEDOU THINGOLY MAURE";68;42;110;"-"
14806;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";8;8;"WENDOU BOCKY";43;56;99;"-"
15228;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";2;3;"WENDOU BOUBOU";9;7;16;"-"
14807;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";16;21;"WENDOU DIABY";52;45;97;"-"
14808;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";6;7;"WENDOU DOCKY";35;30;66;"-"
14809;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";9;9;"WENDOU MBARODJI";41;37;78;"-"
14810;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";2;6;"WENDOU NAMARY III";14;19;34;"-"
14811;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";38;64;"WENDOU PAMPINABE";186;185;371;"-"
14812;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";4;12;"WENDOU THIOMBY I";48;55;104;"-"
14813;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";9;13;"WENDOU THIOMBY II";47;48;95;"-"
15229;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";5;7;"WOURO DJOLOF";29;31;61;"-"
15230;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";9;15;"WOURO NDIOBO";122;108;230;"-"
16100;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";30;53;"ADIA";253;234;488;"-"
16101;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";7;12;"BELEL TOUFLE";42;36;78;"-"
16102;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";12;16;"BODEDJI";51;53;105;"-"
16103;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";2;2;"BOGNANAL LATHIE I";8;4;12;"-"
16104;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";13;17;"BOGNANAL LATHIE II";65;57;123;"-"
16105;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";15;38;"BOKI MBONO DIAO (SINTHIOU DIAOBE)";132;102;234;"-"
16106;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";9;10;"BOKI MBONO DJENGUEL";36;31;68;"-"
16107;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";16;32;"BOKI NDAR";138;142;281;"-"
16108;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";23;46;"BOULOGNE BALI";188;143;331;"-"
16109;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";14;35;"BOULOGNE THIEKEY";121;118;239;"-"
16110;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";19;30;"BOULY BOGUEL";134;113;248;"-"
16111;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";14;46;"BOUNDOU MBABA BARKEDJI";113;141;254;"-"
