0@ID_REP;1@REGION;2@DEPARTEMENT;3@COMMUNE;4@CAV;5@CONCESSIONS;6@MENAGES;7@QUARTIERS-VILLAGES;8@HOMMES;9@FEMMES;10@POPULATION;11@OBSERVATIONS;Probabilité;Nombre de ménage à tirer;LONGITUDE;LATITUDE;X_COORD;Y_COORD
14803;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;26;26;WEDOU THINGOLY II;93;89;183;-;0,022090059;2;471340;1771237;-15,26789825;16,02064044
14804;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;10;13;WEDOU THINGOLY III;32;29;62;-;0,01104503;1;468188;1773203;-15,29738752;16,0383748
14805;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;11;11;WEDOU THINGOLY MAURE;68;42;110;-;0,009345794;1;468110;1769594;-15,29806824;16,00574746
14806;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;8;8;WENDOU BOCKY;43;56;99;-;0,006796941;1;485754;1748320;-15,13302794;15,81358615
14807;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;16;21;WENDOU DIABY;52;45;97;-;0,017841971;1;460900;1748917;-15,36511984;15,81871709
14809;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;9;9;WENDOU MBARODJI;41;37;78;-;0,007646559;1;468091;1764489;-15,29817745;15,95959646
14811;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;38;64;WENDOU PAMPINABE;186;185;371;-;0,054375531;5;459088;1772650;-15,38244613;16,03324074
14812;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;4;12;WENDOU THIOMBY I;48;55;104;-;0,010195412;1;471521;1758619;-15,26605575;15,90657147
14813;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;9;13;WENDOU THIOMBY II;47;48;95;-;0,01104503;1;482384;1744491;-15,16446868;15,77894835
15229;LOUGA;LINGUERE;THIEL;BARKEDJI;5;7;WOURO DJOLOF;29;31;61;-;0,005323194;1;503544;1655523;-14,96703873;14,97465508
15230;LOUGA;LINGUERE;THIEL;BARKEDJI;9;15;WOURO NDIOBO;122;108;230;-;0,011406844;1;495818;1653725;-15,03889211;14,95839798
16100;MATAM;RANEROU;VELINGARA;VELINGARA;30;53;ADIA;253;234;488;-;0,026985743;4;534423;1637215;-14,68009208;14,80890701
16101;MATAM;RANEROU;VELINGARA;VELINGARA;7;12;BELEL TOUFLE;42;36;78;-;0,00610998;1;549605;1645266;-14,53884762;14,88145747
16102;MATAM;RANEROU;VELINGARA;VELINGARA;12;16;BODEDJI;51;53;105;-;0,00814664;1;549545;1616317;-14,53995558;14,61972688
16104;MATAM;RANEROU;VELINGARA;VELINGARA;13;17;BOGNANAL LATHIE II;65;57;123;-;0,008655804;1;552720;1662476;-14,50953626;15,03699179
16105;MATAM;RANEROU;VELINGARA;VELINGARA;15;38;BOKI MBONO DIAO (SINTHIOU DIAOBE);132;102;234;-;0,019348269;3;538029;1624031;-14,64677269;14,68965816
16106;MATAM;RANEROU;VELINGARA;VELINGARA;9;10;BOKI MBONO DJENGUEL;36;31;68;-;0,00509165;1;539205;1624226;-14,63584681;14,69140434
16107;MATAM;RANEROU;VELINGARA;VELINGARA;16;32;BOKI NDAR;138;142;281;-;0,016293279;2;527274;1645239;-14,74644577;14,88153676
16108;MATAM;RANEROU;VELINGARA;VELINGARA;23;46;BOULOGNE BALI;188;143;331;-;0,023421589;3;529925;1619525;-14,72209631;14,64902005
16109;MATAM;RANEROU;VELINGARA;VELINGARA;14;35;BOULOGNE THIEKEY;121;118;239;-;0,017820774;3;533855;1620772;-14,68558398;14,66024818
16110;MATAM;RANEROU;VELINGARA;VELINGARA;19;30;BOULY BOGUEL;134;113;248;-;0,015274949;2;566336;1631608;-14,38366302;14,75761221
16111;MATAM;RANEROU;VELINGARA;VELINGARA;14;46;BOUNDOU MBABA BARKEDJI;113;141;254;-;0,023421589;3;541960;1616790;-14,61037642;14,62413177
